occurrenceID,institutionCode,year,month,day,stateProvince,county,locality,decimalLatitude,decimalLongitude
1407cc64-8ce9-44e1-865c-fb74dcd3067d,NY,1896,5,5,New York,Bronx Co.,Bronx Park,40.8565,-73.877
38de0406-8efc-48dd-9422-0f0681bbfc0d,NY,1900,9,25,New York,Bronx Co.,Bronx Park,40.8565,-73.877
c2be5c45-2985-4685-8d2a-f6100326907d,NY,2009,6,30,New York,Bronx Co.,"Grounds of The New York Botanical Garden, W of the Bronx River and S of Waring Ave",40.8599,-73.877
fd3a4fb5-19f7-4e6d-a2cc-3a89c277f4dc,NY,1902,5,10,New York,Bronx Co.,Bronx Park,40.861,-73.877
4365a7d4-0ca9-44af-96bb-0b52170c93f1,NY,1985,5,15,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 105",40.8622,-73.877
d4c6025e-a456-4939-b984-c7b937610a46,NY,,,,New York,Bronx Co.,Wild. N.Y.B.G.,40.8623,-73.877
da1b499e-83e7-4248-b9cd-2206cf525878,NY,1929,6,13,New York,Bronx Co.,New York Botanical Garden,40.8623,-73.877
7650526a-971d-4a30-8a52-12e9426b0589,NY,1940,5,22,New York,Bronx Co.,"New York Botanical Garden, Bronx Park",40.8623,-73.877
84033228-8a67-4047-85bf-3cf2f79f7c07,NY,1940,5,22,New York,Bronx Co.,"New York Botanical Garden, Bronx Park",40.8623,-73.877
ab0913e3-185c-42f2-82dd-0c38be382355,NY,1906,5,10,New York,Bronx Co.,N.Y.B.G.,40.8623,-73.877
fdfd4d7c-8b54-4ad9-af34-82fa5e1e3425,NY,1924,10,,New York,Bronx Co.,New York Botanical Garden,40.8623,-73.877
64c5645b-2abc-4923-872e-83d3e6c65552,NY,1924,10,,New York,Bronx Co.,New York Botanical Garden,40.8623,-73.877
f1cd2922-6916-4685-9d9f-44ac6fae6d47,NY,1906,5,10,New York,Bronx Co.,N.Y.B.G.,40.8623,-73.877
6c96b2b8-d9a8-4be9-8da0-94c6c73ea7e8,NY,1906,5,10,New York,Bronx Co.,New York Botanical Garden,40.8623,-73.877
80e4f760-2fba-43d8-8bc6-0eb157f016ed,NY,1906,5,10,New York,Bronx Co.,N.Y. Bot. Gard.,40.8623,-73.877
ef1877b8-5b21-445f-b287-e4ed28edc59f,NY,1906,5,10,New York,Bronx Co.,N.Y.B.G.,40.8623,-73.877
f9ce8acb-8b75-48ec-a7c8-e78bb4e1b6ea,NY,1906,5,10,New York,Bronx Co.,N.Y.B.G.,40.8623,-73.877
5473a033-c997-49e7-bf9e-3dbfa0f11f18,NY,1991,6,13,New York,Bronx Co.,New York Botanical Garden,40.8623,-73.877
1ae27437-430c-4dc2-aff0-f7609f6b174c,NY,1929,6,14,New York,Bronx Co.,"The New York Botanical Garden, Bronx Park",40.8623,-73.877
34b9ec4b-1803-4f4e-a6ed-62aea7303366,NY,1929,6,14,New York,Bronx Co.,"The New York Botanical Garden, Bronx Park",40.8623,-73.877
272448e6-a3fd-4e95-9747-5736d1ff4ed8,NY,1976,5,31,New York,Bronx Co.,The New York Botanical Garden,40.8623,-73.877
6b6f1a63-5c6e-4b8a-920c-5e19d23bf1b6,NY,1938,4,23,New York,Bronx Co.,New York Botanical Garden,40.8623,-73.877
6f123215-5c3f-47ce-9c99-baed1fabf2b2,NY,,,,New York,Bronx Co.,New York Botanical Garden,40.8623,-73.877
ee7d4fb6-f133-47af-b034-e34174e28546,NY,1993,9,10,New York,Bronx Co.,on the grounds of the New York Botanical Garden,40.8623,-73.877
ee7d4fb6-f133-47af-b034-e34174e28546,NY,1993,9,10,New York,Bronx Co.,on the grounds of the New York Botanical Garden,40.8623,-73.877
d4c6025e-a456-4939-b984-c7b937610a46,NY,,,,New York,Bronx Co.,Wild. N.Y.B.G.,40.8623,-73.877
