Accession_No,Mapping_Order,Full_name,Genus,Species,Origin,Leaf_no,Latitude,Longitude,Height_ft,Sun_Exposure_percent,Distance_from_Road_ft,Leaf_Accessibility,Gall_Presence,Leaf_Herbivory
E33-92,3,Tilia cordata,Tilia,cordata,Non-native,8,40.654152,-73.990009,73,50,0,medium,Y,1
E33-92,3,Tilia cordata,Tilia,cordata,Non-native,9,40.654152,-73.990009,73,50,0,medium,Y,2
E33-92,3,Tilia cordata,Tilia,cordata,Non-native,10,40.654152,-73.990009,73,50,0,medium,Y,2
W18-76,4,Tilia cordata,Tilia,cordata,Non-native,1,40.653917,-73.989674,64,50,0,low,N,0
W18-76,4,Tilia cordata,Tilia,cordata,Non-native,2,40.653917,-73.989674,64,50,0,low,N,1
W18-76,4,Tilia cordata,Tilia,cordata,Non-native,3,40.653917,-73.989674,64,50,0,low,N,1
W18-76,4,Tilia cordata,Tilia,cordata,Non-native,4,40.653917,-73.989674,64,50,0,low,N,0
W18-76,4,Tilia cordata,Tilia,cordata,Non-native,5,40.653917,-73.989674,64,50,0,low,N,2
W18-76,4,Tilia cordata,Tilia,cordata,Non-native,6,40.653917,-73.989674,64,50,0,low,N,4
W18-76,4,Tilia cordata,Tilia,cordata,Non-native,7,40.653917,-73.989674,64,50,0,low,N,48
W18-76,4,Tilia cordata,Tilia,cordata,Non-native,8,40.653917,-73.989674,64,50,0,low,N,2
W18-76,4,Tilia cordata,Tilia,cordata,Non-native,9,40.653917,-73.989674,64,50,0,low,N,3
W18-76,4,Tilia cordata,Tilia,cordata,Non-native,10,40.653917,-73.989674,64,50,0,low,N,6
W20-12,5,Tilia cordata,Tilia,cordata,Non-native,1,40.653435,-73.988771,77,25,0,high,N,0
W20-12,5,Tilia cordata,Tilia,cordata,Non-native,2,40.653435,-73.988771,77,25,0,high,N,0
W20-12,5,Tilia cordata,Tilia,cordata,Non-native,3,40.653435,-73.988771,77,25,0,high,N,0
W20-12,5,Tilia cordata,Tilia,cordata,Non-native,4,40.653435,-73.988771,77,25,0,high,N,1
W20-12,5,Tilia cordata,Tilia,cordata,Non-native,5,40.653435,-73.988771,77,25,0,high,N,0
W20-12,5,Tilia cordata,Tilia,cordata,Non-native,6,40.653435,-73.988771,77,25,0,high,N,1
W20-12,5,Tilia cordata,Tilia,cordata,Non-native,7,40.653435,-73.988771,77,25,0,high,N,1
W20-12,5,Tilia cordata,Tilia,cordata,Non-native,8,40.653435,-73.988771,77,25,0,high,N,1
W20-12,5,Tilia cordata,Tilia,cordata,Non-native,9,40.653435,-73.988771,77,25,0,high,N,9
W20-12,5,Tilia cordata,Tilia,cordata,Non-native,10,40.653435,-73.988771,77,25,0,high,N,0
E22-135,6,Tilia americana,Tilia,americana,Native,1,40.654388,-73.985213,36,100,25,high,Y,1
E22-135,6,Tilia americana,Tilia,americana,Native,2,40.654388,-73.985213,36,100,25,high,Y,1
E22-135,6,Tilia americana,Tilia,americana,Native,3,40.654388,-73.985213,36,100,25,high,Y,1
E22-135,6,Tilia americana,Tilia,americana,Native,4,40.654388,-73.985213,36,100,25,high,Y,5
E22-135,6,Tilia americana,Tilia,americana,Native,5,40.654388,-73.985213,36,100,25,high,Y,2
